Class	Gene	LocusTag	t0	t1	t2	t	t4	t5	t6	t7	t8	g135	g150	g180
A	alkA	BSU01800	0	0.228518958	-0.111737485	2.352917222	2.837245166	2.772640272	2.498575259	2.383374846	2.580936244	0.456819699	0.377425834	0.566158732
A	bdbC	BSU33470	0	-0.60236642	0.70572069	-0.92182677	-1.544920203	-2.027798577	-2.189221274	-2.25891797	-3.439340151	0.08163327	-0.594782715	-0.294897647
A	bdbD	BSU33480	0	-0.286032467	0.919827137	-0.711201983	-1.142269147	-1.802640953	-2.870249483	-2.380139713	-3.442034203	-0.019193678	-0.196305948	0.06772813
A	comER	BSU25600	0	0.205662639	1.152480236	7.605277756	8.238895046	8.577707373	7.451911319	7.498627943	6.910880548	0.087325341	0.142698389	0.124310967
A	cotE	BSU17030	0	-0.436434325	2.382053903	7.593303966	7.666476083	7.661404586	7.59073825	7.693105886	7.603753594	0.353963538	0.181782776	0.975898513
A	cotH	BSU36060	0	0.046559046	0.085916481	2.451621933	2.827982031	5.406011028	6.472738744	5.864609788	5.921441823	0.228172119	0.269430483	0.400938166
A	cotO	BSU11730	0	-1.130683643	0.615911277	5.487955639	6.401400002	6.369829739	6.401487175	6.292634325	6.263273607	0.958667656	0.527584014	0.853698885
A	coxA	BSU27830	0	-1.403576086	-1.586399754	1.20200359	2.329115363	4.5380298	4.597367491	4.117945353	4.68333928	-2.353736185	-2.912387486	-2.597778068
A	cspR	BSU08930	0	-1.268342997	-1.690641387	0.977409293	1.396753037	1.342492563	1.243917181	0.896211153	0.984616173	0.979048883	0.550863008	1.27992218
A	ctaA	BSU14870	0	-3.077052787	-0.031671877	-1.950707933	-1.62777497	-1.831408677	-1.097751074	-1.152832407	-1.081724537	-0.783488292	-1.300301492	-1.05195459
A	ctpA	BSU19590	0	0.248617717	0.552123543	1.274782897	1.099649067	0.789442747	0.287569224	0.471859723	0.193966105	0.623981535	0.4198201	0.57099411
A	ctpB	BSU35240	0	-0.07777311	0.831342008	5.096004338	6.110434448	6.070069888	5.807959872	5.787386615	5.937594608	1.356367007	1.198014312	1.36392057
A	gerQ	BSU37920	0	-0.098257806	2.267918651	8.604953841	8.873982591	8.886598824	8.518942854	8.588864377	8.219606134	0.25839777	0.206438012	0.651278129
A	glgA	BSU30950	0	0.18605663	4.626777202	5.815243992	5.525379555	5.083537672	4.640602435	4.212118585	3.969597585	0.174224907	0.419928996	0.329292194
A	glgB	BSU30980	0	0.500421561	5.234347461	6.411299008	6.425967411	6.092322801	5.43870161	5.338248951	5.038736616	0.769628438	0.920433829	0.964589343
A	glgC	BSU30970	0	0.333332714	5.100782034	6.283469641	6.081724657	5.914134694	5.378337711	5.047227141	4.819185996	0.771901983	0.636606629	0.710008674
A	glgD	BSU30960	0	0.183894548	4.778582778	5.956820445	5.684891818	5.417034325	4.876550105	4.503828315	4.254504275	0.128200372	0.33922658	0.272966915
A	glgP	BSU30940	0	0.082636183	4.404586555	5.484842998	5.183204958	4.667256755	4.083810738	3.964824785	3.578652168	0.381429306	0.409162763	0.416269517
A	glnH	BSU27440	0	0.141288724	2.021667534	7.909377573	8.068241513	8.477929863	8.009300413	7.25809393	7.556089092	0.089033891	-0.051136927	0.014554585
A	glnM	BSU27450	0	0.140232962	0.936737918	6.210461833	6.323123666	6.509693183	6.560023956	5.633079183	6.266261405	0.06640285	0.057860843	0.046633953
A	glnP	BSU27460	0	0.141430979	0.861668525	5.909901981	5.913716608	6.156660471	6.191079387	5.133831848	5.826441884	-0.009852355	0.04284495	0.020530235
A	glnQ	BSU27430	0	0.043403098	2.08888575	7.802964189	8.070856259	8.463986619	7.988589053	7.283359106	7.534403962	0.082032218	0.039649876	0.166215056
A	glpK	BSU09290	0	-1.726848703	-1.427165553	-0.747235937	-0.448381417	-0.528310537	0.322591116	-0.143540523	0.522310033	-0.506317662	1.553253343	-1.394095913
A	ispE	BSU00460	0	0.341149007	0.195152473	-0.503424103	-1.721556569	-2.413823607	-1.722527056	-1.00415669	-0.947526892	1.819472368	1.697969948	1.910272673
A	kamA	BSU19690	0	-0.057599381	0.517263816	6.171218341	6.982834818	7.722783088	7.749032919	7.221320571	7.563355015	-0.283610781	-0.320446283	-0.253302107
A	mbl	BSU36410	0	-0.045071253	-0.284565923	1.461395787	1.5796197	1.914536057	1.206580337	1.214332343	1.252494917	1.480188507	1.235153282	1.341185003
A	mdxF	BSU34600	0	-0.68986518	-0.275907311	-1.218580793	-1.2022829	-1.211258116	-0.457102065	0.06076425	1.005611461	-1.036644858	-0.179486679	-0.869123296
A	nucB	BSU25750	0	0.455358117	0.209454027	3.699329864	4.364333087	4.359979184	4.659361957	4.268421807	4.530791699	1.208044486	1.198306382	1.229672986
A	opuD	BSU30070	0	-0.028803717	-0.117157	-0.556513753	-0.74046208	-0.715164	-0.744095869	-1.151128623	-1.908090086	0.689941888	0.360447093	0.258985007
A	patA	BSU14000	0	0.343697707	0.473587547	2.13362763	1.872708483	1.802366357	0.903009601	0.943742687	0.622604335	-0.005851615	-0.075514995	0.031156567
A	patB	BSU31440	0	-0.959854897	-1.224383521	-1.84218253	-1.944115492	-1.83599455	-2.028951138	-2.536446966	-2.192558491	0.711696713	0.692665483	0.88127162
