Class	Gene	LocusTag	t0	t1	t2	t	t4	t5	t6	t7	t8	g135	g150	g180
A	acoA	BSU08060	0	-1.268121809	0.965831536	3.96683036	6.152321683	4.64870384	4.361355184	4.453886123	4.550361522	-1.108985502	-0.920884759	-0.900095787
A	acoB	BSU08070	0	-1.235668526	0.728522304	3.791428871	5.916820937	4.637156754	4.269135275	4.577567657	4.613230297	-1.273414313	-0.907675837	-1.027933334
A	acoC	BSU08080	0	-0.996332094	0.425412887	3.285447833	5.453510162	4.359292935	4.061894963	4.222764312	4.51995626	-1.073394207	-0.384546531	-0.439868897
A	acoL	BSU08090	0	-1.074435316	0.255609294	3.132480172	5.276383026	4.090773979	3.83963986	3.962507559	4.324982529	-0.549264312	-0.203664126	-0.126410533
A	asd	BSU16750	0	0.420450247	0.122672803	-0.293291387	-0.585332897	1.181640953	2.27151927	2.050868217	1.991483517	-0.345709788	-0.165915273	-0.264379
A	cotS	BSU30900	0	0.043407621	-0.142095849	0.028725341	-0.059132652	2.384931475	6.771722408	7.70358172	7.512340025	0.13132088	0.318618835	0.313982838
A	dapA	BSU16770	0	-0.597599627	-0.856431473	-1.044202107	-1.329532467	-0.30026394	1.033971003	0.994384017	0.868543062	0.146047522	-0.021769393	-0.081430857
A	dapG	BSU16760	0	-0.695001733	-0.820030977	-0.90907596	-1.352086617	0.024209913	1.600847131	1.530302357	1.523785012	0.212551367	0.212853782	0.199475837
A	dra 	BSU39420	0	-0.657604583	-0.861961337	-2.431230607	-2.58841053	-2.290397023	-2.608469681	-2.89605564	-2.972471872	0.334499503	0.361445048	0.330277323
A	gerE	BSU28410	0	-0.53585019	-1.660062519	-1.277180549	-1.585247464	2.75959027	4.64351747	4.737044233	4.84471939	-1.04314009	-0.7936544	-1.378945293
A	gntK	BSU40060	0	-0.796249073	-1.795430113	-1.796396656	-2.096508056	-2.384181539	-2.50845816	-2.688944488	-3.132661712	0.955331038	1.941323043	0.480451733
A	gntP	BSU40070	0	-1.30171456	-2.307959417	-3.119297335	-3.486626579	-3.75496933	-3.969421995	-4.072000186	-4.361962639	0.595678625	1.493478995	-0.114009107
